animal_id,animal_type,sex,yrs,mnth,breed,color_prim,color_sec,los,intake_type,intake_subtype,intake_date,outcome_type,outcome_subtype,outcome_date
A260117,CAT,S,7,0,DOMESTIC SH,GRAY,WHITE,23,TRNSFR-EXT,ACO,1/9/18,ADOPTION,NEW OWNER,1/11/18
A259980,CAT,N,3,0,DOMESTIC SH,TAB MAC WH,ORANGE,23,TRNSFR-EXT,ACO,1/9/18,ADOPTION,NEW OWNER,1/13/18
A260118,DOG,S,1,6,MIX THAT LOOKS LIKE A CHIHUAHUA LH,BLACK,,23,TRNSFR-EXT,ACO,1/9/18,ADOPTION,TIER 3,1/20/18
A260113,CAT,S,4,0,DOMESTIC LH,BLACK,WHITE,23,TRNSFR-EXT,ACO,1/9/18,ADOPTION,NEW OWNER,1/21/18
A260116,CAT,N,0,10,DOMESTIC SH,BLACK,,23,TRNSFR-EXT,ACO,1/9/18,ADOPTION,NEW OWNER,1/23/18
A260130,CAT,N,15,0,DOMESTIC LH,WHITE,GRAY,22,OWNER SUR,EUTH REQ,1/10/18,EUTH,OWN REQ,1/10/18
A260129,CAT,N,7,0,DOMESTIC SH,BLACK,WHITE,22,OWNER SUR,EVALUATION,1/10/18,EUTH,SICK-OTHER,1/11/18
A260125,OTHER,S,1,0,MIX THAT LOOKS LIKE A LOP-FRENCH,BROWN,,22,OWNER SUR,EVALUATION,1/10/18,ADOPTION,NEW OWNER,1/19/18
A260126,OTHER,S,1,0,MIX THAT LOOKS LIKE A LOP-FRENCH,GRAY,,22,OWNER SUR,EVALUATION,1/10/18,ADOPTION,NEW OWNER,1/31/18
A260124,OTHER,S,1,0,MIX THAT LOOKS LIKE A PALOMINO,RED,,22,OWNER SUR,EVALUATION,1/10/18,ADOPTION,NEW OWNER,1/31/18
A259949,CAT,N,7,0,DOMESTIC SH,ORANGE,WHITE,37,OWNER SUR,EVALUATION,12/26/17,ADOPTION,SPEC ADOPT,1/28/18
A260133,OTHER,F,1,0,RABBIT SH / LOP-ENGLISH,WHITE,BLACK,22,OWNER SUR,LAW ENFORC,1/10/18,,,
A260121,CAT,S,0,8,DOMESTIC SH,TAB MAC WH,GRAY,22,STRAY,STRAY,1/10/18,,,
A260139,CAT,M,2,8,DOMESTIC SH,TAB MAC WH,BROWN,22,STRAY,STRAY,1/10/18,RELEASE,TNR,1/13/18
A260136,CAT,M,1,8,DOMESTIC SH,BLACK,,22,STRAY,STRAY,1/10/18,RELEASE,TNR,1/13/18
A260137,CAT,M,1,8,DOMESTIC SH,BLACK,,22,STRAY,STRAY,1/10/18,RELEASE,TNR,1/13/18
A260138,CAT,F,1,8,DOMESTIC SH,BLACK,,22,STRAY,STRAY,1/10/18,RELEASE,TNR,1/13/18
A260134,CAT,N,1,8,DOMESTIC SH,BLACK,,22,STRAY,STRAY,1/10/18,ADOPTION,NEW OWNER,1/19/18
A260135,CAT,N,1,8,DOMESTIC SH,BLACK,,22,STRAY,STRAY,1/10/18,RELEASE,TNR,1/20/18
A260128,BIRD,U,1,5,OWL-BARRED,BROWN,WHITE,22,WILDLIFE,WILDLIFE,1/10/18,TRNSFR-EXT,NEWC,1/10/18
A260131,BIRD,U,1,6,GULL-RING BILL,GRAY,WHITE,22,WILDLIFE,WILDLIFE,1/10/18,TRNSFR-EXT,NEWC,1/10/18
A259598,OTHER,F,0,2.5,GUINEA PIG,AGOUTI,TAN,65,OWNER SUR,EVALUATION,11/28/17,,,
